age,n_by_indiv_years
0,47186
1,47638
2,49169
3,52052
4,51692
5,53328
6,56033
7,56668
8,57287
9,58596
10,60103
11,60725
12,60860
13,60610
14,60968
15,58977
16,58352
17,55968
18,59288
19,65882
20,66099
21,67649
22,71085
23,69391
24,67147
25,67927
26,66506
27,66109
28,68425
29,68712
30,71119
31,72812
32,70587
33,70779
34,72543
35,69802
36,70217
37,70574
38,68735
39,69204
40,69239
41,70237
42,68330
43,67126
44,61646
45,60810
46,64373
47,65013
48,66593
49,69715
50,73587
51,77225
52,76987
53,79622
54,80833
55,81023
56,80513
57,83155
58,82502
59,81298
60,78472
61,76073
62,74414
63,73191
64,71524
65,67917
66,65846
67,63035
68,61093
69,59578
70,56587
71,56361
72,55493
73,56517
74,57058
75,60062
76,44318
77,40802
78,40475
79,37824
80,33746
81,29158
82,28824
83,26741
84,24564
85,21731
86,19651
87,17421
88,14869
89,12760
90,44964
